epoch,loss,accuracyTrain,accuracyTest
1.0,951.5932006835938,41.334,41.57
2.0,822.8082885742188,47.074,45.95
3.0,770.1465454101562,50.304,49.35
4.0,728.8743896484375,53.938,52.61
5.0,694.7492065429688,55.474,54.27
6.0,661.487548828125,58.622,56.72
7.0,638.2384643554688,60.306,58.03
8.0,615.239501953125,62.136,59.5
9.0,595.0057373046875,62.914,60.15
10.0,580.4352416992188,64.078,61.17
11.0,566.164794921875,64.01,61.09
12.0,553.220458984375,65.776,62.51
13.0,542.2811889648438,66.356,63.08
14.0,528.7266845703125,67.158,63.1
15.0,519.6980590820312,68.678,64.21
16.0,507.0654296875,69.468,65.07
17.0,498.3335266113281,70.658,65.84
18.0,490.39569091796875,70.182,65.53
19.0,483.8434143066406,71.082,66.02
20.0,476.34423828125,71.954,66.48
21.0,466.8586730957031,72.408,66.78
22.0,461.0772399902344,72.756,66.85
23.0,456.8388671875,73.198,67.19
24.0,448.1907958984375,73.778,67.71
25.0,443.193115234375,74.406,67.84
26.0,437.4073791503906,74.646,67.5
27.0,432.26849365234375,75.572,68.23
28.0,428.1039123535156,75.776,67.91
29.0,422.85052490234375,76.228,68.37
30.0,414.52081298828125,76.038,68.28
31.0,412.5024108886719,76.53,68.2
32.0,409.68084716796875,76.862,68.42
33.0,401.17449951171875,77.85,69.31
34.0,397.6622009277344,76.142,67.66
35.0,393.8302001953125,78.692,69.41
36.0,387.56793212890625,77.958,68.8
37.0,386.0411682128906,79.06,68.89
38.0,381.6234130859375,78.688,68.8
39.0,378.44091796875,79.238,68.84
40.0,374.1783447265625,80.396,69.14
41.0,368.42523193359375,80.2,69.0
42.0,367.2232360839844,80.768,69.07
43.0,362.9176330566406,81.262,69.73
44.0,358.4333801269531,81.282,69.61
45.0,357.237548828125,81.344,69.4
46.0,354.25201416015625,80.432,68.7
47.0,348.7075500488281,81.568,69.11
48.0,346.29693603515625,82.58,69.76
49.0,343.0911865234375,82.44,69.33
50.0,340.5588684082031,82.242,69.38
51.0,338.2854309082031,83.004,69.17
52.0,337.7444763183594,82.81,68.87
53.0,331.9784240722656,82.348,68.8
54.0,329.8746337890625,83.58,69.31
55.0,326.815673828125,83.874,69.65
56.0,321.7867736816406,84.062,69.34
57.0,318.8687744140625,84.004,69.15
58.0,319.4511413574219,84.048,68.88
59.0,314.2287292480469,85.008,69.24
60.0,313.7053527832031,84.464,69.22
61.0,309.9134521484375,85.036,69.07
62.0,304.49017333984375,85.258,69.44
63.0,305.7844543457031,85.958,69.21
64.0,298.5383605957031,85.216,68.87
65.0,299.6269836425781,86.052,69.17
66.0,295.57958984375,86.552,69.47
67.0,295.82110595703125,86.31,69.12
68.0,292.6818542480469,85.058,68.71
69.0,290.50347900390625,86.394,68.79
70.0,287.7500305175781,86.726,69.24
71.0,286.9642028808594,86.862,68.97
72.0,284.5506286621094,87.324,69.04
73.0,282.0892639160156,86.858,68.52
74.0,278.8717956542969,87.626,68.84
75.0,278.41015625,87.594,68.61
76.0,275.0377197265625,87.926,69.16
77.0,274.8673095703125,87.99,68.7
78.0,269.6214599609375,87.38,68.4
79.0,271.22991943359375,88.508,68.93
80.0,268.2296142578125,88.786,68.78
81.0,265.908935546875,88.84,68.6
82.0,262.8247985839844,88.85,68.69
83.0,260.4604187011719,88.924,68.62
84.0,259.5815734863281,89.12,67.93
85.0,258.957763671875,89.218,68.86
86.0,257.2100830078125,89.096,68.18
87.0,254.56573486328125,89.118,68.37
88.0,253.3982696533203,89.61,68.26
89.0,253.87075805664062,89.84,68.42
90.0,250.9272003173828,89.69,68.79
91.0,247.57086181640625,90.216,68.5
92.0,245.0552520751953,90.384,68.36
93.0,243.873779296875,90.208,68.63
94.0,245.82479858398438,90.66,68.19
95.0,240.71902465820312,90.684,68.6
96.0,241.39170837402344,90.856,68.12
97.0,239.7285919189453,90.69,68.18
98.0,237.32077026367188,90.594,67.9
99.0,235.95140075683594,90.708,68.12
100.0,233.18234252929688,90.274,68.1
101.0,232.3541259765625,90.982,67.8
102.0,230.95399475097656,91.508,68.25
103.0,229.42469787597656,91.314,67.77
104.0,228.30563354492188,91.496,67.89
105.0,229.7709197998047,90.728,67.59
106.0,227.57212829589844,91.546,67.91
107.0,226.2665252685547,92.146,67.98
108.0,222.82424926757812,91.25,68.12
109.0,221.30429077148438,92.362,67.61
110.0,219.60203552246094,92.626,67.77
111.0,220.43594360351562,92.166,67.61
112.0,218.7574005126953,91.846,67.24
113.0,218.68626403808594,92.434,67.74
114.0,216.21490478515625,92.47,67.38
115.0,214.2153778076172,92.058,67.46
116.0,212.53109741210938,91.204,67.43
117.0,211.88731384277344,92.698,67.59
118.0,213.45286560058594,92.454,67.7
119.0,212.01556396484375,92.164,67.15
120.0,210.56410217285156,92.774,67.3
121.0,208.83853149414062,92.882,67.53
122.0,207.05679321289062,92.478,67.37
123.0,204.1236114501953,92.756,66.99
124.0,205.7231903076172,93.068,67.15
125.0,203.70770263671875,93.142,67.49
126.0,203.69744873046875,92.082,66.55
127.0,204.41893005371094,92.86,66.71
128.0,201.58294677734375,93.686,67.02
129.0,199.7516632080078,93.902,66.71
130.0,199.69662475585938,93.934,67.26
131.0,198.4441375732422,94.06,67.29
132.0,196.79788208007812,93.996,66.78
133.0,195.15235900878906,93.84,67.34
134.0,196.14794921875,93.5,66.94
135.0,194.099853515625,93.704,67.14
136.0,196.69239807128906,93.78,67.04
137.0,191.6664276123047,94.214,67.11
138.0,192.26708984375,93.702,66.62
139.0,191.0393829345703,94.074,66.65
140.0,189.73292541503906,94.65,67.4
141.0,188.43125915527344,94.514,66.56
142.0,187.58523559570312,94.994,67.01
143.0,187.6525421142578,93.868,66.65
144.0,187.9452667236328,94.792,66.87
145.0,186.03067016601562,94.67,66.71
146.0,184.95736694335938,94.052,66.75
147.0,183.8718719482422,94.72,66.38
148.0,188.43020629882812,94.036,66.71
149.0,183.18185424804688,94.646,66.91
150.0,183.81080627441406,95.23,66.66
151.0,178.23342895507812,94.946,67.07
152.0,178.90145874023438,95.49,66.96
153.0,180.31845092773438,95.188,66.81
154.0,178.9618682861328,94.41,66.2
155.0,178.15249633789062,95.276,66.66
156.0,176.9457244873047,95.412,66.75
157.0,176.701904296875,95.496,66.84
158.0,176.44589233398438,95.624,66.55
159.0,176.18943786621094,95.666,66.65
160.0,176.17739868164062,95.302,66.88
161.0,175.9172821044922,95.284,66.17
162.0,175.06600952148438,94.946,66.2
163.0,173.86827087402344,95.15,66.69
164.0,173.4603271484375,95.572,66.14
165.0,172.051025390625,95.646,66.58
166.0,171.1145782470703,95.838,66.18
167.0,172.91773986816406,95.826,66.64
168.0,170.33505249023438,94.822,66.49
169.0,171.4683837890625,95.882,66.75
170.0,168.57003784179688,96.13,66.57
171.0,167.77114868164062,95.472,65.98
172.0,170.48635864257812,95.356,66.06
173.0,168.74563598632812,96.082,66.22
174.0,163.83251953125,95.742,66.33
175.0,166.14710998535156,95.538,66.25
176.0,165.36900329589844,95.97,66.31
177.0,167.09719848632812,95.598,66.33
178.0,164.26388549804688,96.012,66.08
179.0,167.7300567626953,96.294,66.48
180.0,165.09152221679688,96.098,65.82
181.0,162.78079223632812,96.728,65.99
182.0,163.5259246826172,96.472,66.37
183.0,161.46170043945312,96.482,65.5
184.0,160.2919158935547,96.222,66.45
185.0,157.8451690673828,96.454,66.19
186.0,159.98049926757812,96.662,66.11
187.0,161.247314453125,96.196,66.35
188.0,159.6104278564453,95.766,65.25
189.0,159.6522674560547,96.874,65.9
190.0,159.30502319335938,96.536,65.91
191.0,158.15335083007812,96.248,66.2
192.0,155.0922393798828,96.974,65.86
193.0,156.40953063964844,95.978,65.43
194.0,159.17236328125,96.55,65.96
195.0,155.47715759277344,96.974,66.24
196.0,156.2292022705078,96.784,65.61
197.0,153.8662109375,96.538,65.8
198.0,153.28553771972656,96.568,66.06
199.0,153.3343048095703,96.904,66.17
200.0,151.22125244140625,96.86,65.64
201.0,151.3899383544922,96.902,65.9
202.0,153.7548828125,96.874,65.99
203.0,151.05038452148438,97.228,66.4
204.0,153.04428100585938,96.798,65.93
205.0,151.77244567871094,96.772,65.73
206.0,150.94297790527344,96.826,65.81
207.0,153.06678771972656,96.702,65.81
208.0,152.12353515625,96.308,65.23
209.0,147.97860717773438,97.31,66.02
210.0,151.42774963378906,97.062,65.79
211.0,149.39669799804688,96.872,65.56
212.0,148.88787841796875,96.656,65.63
213.0,145.84278869628906,97.394,65.71
214.0,148.8547821044922,96.958,65.4
215.0,148.41513061523438,97.15,66.08
216.0,145.06243896484375,97.05,65.82
217.0,147.6143798828125,96.79,65.71
218.0,142.19772338867188,97.134,65.69
219.0,143.8534393310547,96.278,64.77
220.0,145.87892150878906,97.258,65.87
221.0,145.39810180664062,96.908,65.92
222.0,144.6229248046875,97.508,66.06
223.0,141.93106079101562,97.3,66.23
224.0,144.91693115234375,97.418,66.02
225.0,141.64283752441406,97.622,65.99
226.0,142.1603240966797,97.754,65.95
227.0,142.88568115234375,97.578,66.13
228.0,141.47792053222656,97.546,65.42
229.0,142.12393188476562,97.664,65.72
230.0,141.57606506347656,97.34,65.59
231.0,141.96336364746094,97.518,65.62
232.0,142.4649200439453,97.524,66.28
233.0,142.0666046142578,97.424,65.79
234.0,138.27871704101562,97.906,65.65
235.0,141.18869018554688,97.324,65.74
236.0,139.97776794433594,97.574,65.6
237.0,137.62013244628906,97.59,65.53
238.0,139.55743408203125,97.68,65.82
239.0,138.40673828125,97.532,65.46
